,"Bollinger bands, mean",Accumulation/Distribution,"Bollinger bands, lower band",MA Exponential,"Envelopes, fist number",Index performance,"MA Convergence/Divergence, first number",Momentum,"Price Channels, first number",Parabolic SAR,SALDO,CHANGE_MONEY,CHANGE_GOV_REMAINS_BR,MOVING_DEBT,CHANGE_BANKS_DEBT,CHANGE_BANKS_REPO_DEBT,MINFIN_FORCURR_OPERATIONS,BR_REG_RESERVES,BR_NETTO,MOSPRIME_ONE_DAY,MOSPRIME_ONE_WEEK,MOSPRIME_TWO_WEEKS,MOSPRIME_ONE_MONTH,MEAN_REPO_KSU_DAY,MEAN_REPO_KSU_WEEK,ROISFIX_ONE_WEEK,ROISFIX_TWO_WEEKS,ROISFIX_ONE_MONTH,MEAN_RTSI,RUONIA,RUREPO_ON,RUREPO_WEEK,RUREPO_TWO_WEEKS,RUREPO_MONTH,GOV_REPO_RATE,MEAN_BANK_RATES,WAP,VALUE,NUMTRADES,MEAN_PARAMS
2017-07-24,8.5585,-4744700000.0,8.5585,8.98444,8.5585,-2.75247,-0.002859493333333329,-0.15,8.475,8.5,-51.8,52.2,-188.2,0.0,0.0,-43.2,0.0,0.0,0.8,9.18,9.21,9.19,9.22,9.13,9.175,8.94,8.94,8.93,1015.4625,8.94,9.55,9.63,9.68,9.78,8.5,7.911666666666667,8.97,2325011000,37,8.8275
2017-07-25,8.5585,-8602970000.0,8.5585,8.98444,8.5585,0.18246,-0.002859493333333329,-0.15,8.475,8.512,-53.4,43.9,-519.9,5.5,0.0,70.0,0.0,0.0,77.8,9.17,9.19,9.19,9.22,9.13,9.175,8.94,8.94,8.93,1011.8925,8.93,9.52,9.61,9.68,9.78,8.5,7.911666666666667,9.02,3477388000,31,8.9525
2017-07-26,8.5585,-9634070000.0,8.5585,8.98444,8.5585,0.350758,-0.002859493333333329,-0.15,8.475,8.54552,-54.1,28.3,76.2,-30.3,0.0,-0.1,0.0,0.0,67.7,9.21,9.21,9.19,9.22,9.13,9.175,8.94,8.94,8.93,1016.5025,9.05,9.59,9.68,9.75,9.86,8.5,7.911666666666667,9.15,6537394000,36,9.14
2017-07-27,8.5585,-14293500000.0,8.5585,8.98444,8.5585,0.0585542,-0.002859493333333329,-0.15,8.475,8.596789999999999,-116.0,9.0,-48.9,0.0,0.0,-0.1,0.0,0.0,8.6,9.26,9.23,9.21,9.22,9.13,9.175,8.94,8.94,8.93,1028.1125,9.13,9.58,9.65,9.73,9.83,8.5,7.911666666666667,9.3,3387899000,26,9.2475
2017-07-28,8.5585,-14293500000.0,8.5585,8.98444,8.5585,0.0585542,-0.002859493333333329,-0.15,8.475,8.596789999999999,-123.7,7.8,-36.0,0.0,0.0,27.1,0.0,0.0,35.5,9.31,9.24,9.22,9.22,9.13,9.175,8.94,8.94,8.93,1019.265,9.17,9.55,9.63,9.7,9.79,8.5,7.911666666666667,9.26,4659405000,31,9.2575
2017-07-31,8.5585,-22959500000.0,8.5585,8.98444,8.5585,-1.77689,-0.002859493333333329,-0.15,8.475,8.69028,-158.5,52.6,-153.4,0.0,50.0,-256.5,0.0,0.0,76.2,9.33,9.28,9.25,9.24,9.13,9.175,8.96,8.95,8.95,1008.625,9.24,9.6,9.64,9.72,9.81,8.5,7.911666666666667,9.21,5181650000,26,9.2025
2017-08-01,8.5585,-28704900000.0,8.5585,8.98444,8.5585,-2.2425200000000003,-0.002859493333333329,-0.15,8.475,8.73287,-234.3,18.4,59.6,31.8,0.0,3.1,0.0,0.0,14.6,9.29,9.3,9.29,9.26,9.13,9.175,8.96,8.96,8.95,1016.025,8.9,9.55,9.63,9.7,9.8,8.5,8.203666666666667,9.19,4002500000,30,9.1925
2017-08-02,8.5585,-34303200000.0,8.5585,8.98444,8.5585,-4.95736,-0.002859493333333329,-0.15,8.475,9.4,-361.9,-11.1,-50.3,-24.5,-33.3,-60.6,0.0,0.0,-79.0,9.22,9.23,9.24,9.26,9.079999999999998,9.11,8.98,8.98,8.98,1017.0675,8.7,9.52,9.62,9.69,9.8,8.5,8.203666666666667,9.09,5745400000,27,9.095
2017-08-03,8.5585,-38246300000.0,8.5585,8.70756,8.5585,-16.6461,-0.002859493333333329,-0.15,8.475,9.385,-284.8,-39.8,278.9,0.0,0.0,153.2,0.0,0.0,-44.4,9.15,9.19,9.24,9.26,8.95,9.055,8.99,8.98,8.98,1024.9425,8.64,9.48,9.53,9.63,9.76,8.5,8.203666666666667,8.98,5598335000,52,8.865
2017-08-04,8.5585,-38246300000.0,8.5585,8.70756,8.5585,-16.6461,-0.002859493333333329,-0.15,8.475,9.385,-241.4,-37.9,-120.7,0.0,0.0,-251.4,0.0,0.0,-74.1,8.8,9.03,9.17,9.22,8.325,8.955,8.98,8.99,9.0,1024.2975,8.34,9.34,9.46,9.63,9.76,8.5,8.203666666666667,8.44,4233004060,39,8.265
2017-08-07,8.5585,-46916000000.0,8.5585,8.47284,8.5585,-7.1433800000000005,-0.002859493333333329,-0.15,8.475,9.24114,-172.1,16.4,5.9,0.0,-50.1,-28.3,0.0,0.0,-238.2,8.62,8.94,9.15,9.21,8.17,8.58,8.98,8.98,8.98,1030.3325,8.24,9.38,9.51,9.68,9.78,8.5,8.203666666666667,8.42,4240150000,34,8.39
2017-08-08,8.5585,-50793000000.0,8.5585,8.458269999999999,8.5585,-6.19094,-0.002859493333333329,-0.15,8.475,9.17349,67.7,-2.4,-8.9,71.3,0.0,-171.7,2.0,0.0,-195.8,8.55,8.93,9.13,9.19,8.355,8.795,8.98,8.98,8.97,1041.12,8.22,9.28,9.47,9.63,9.77,8.5,8.203666666666667,8.47,4533000000,34,8.425
