DATE,CHANGE_MONEY,CHANGE_GOV_REMAINS_BR,MOVING_DEBT,CHANGE_BANKS_DEBT,CHANGE_BANKS_REPO_DEBT,MINFIN_FORCURR_OPERATIONS,BR_REG_RESERVES,BR_NETTO
3/1/2018,-22.2,195.9,0,0,98.5,15.9,0,29.7
2/28/2018,7.5,-329.1,-49.8,-55.9,-198.5,15.7,0,-130.4
2/27/2018,34.1,190,23,0,99.8,15.5,0,-72.7
2/26/2018,64.5,-708.5,0,0,-50.1,15.7,0,246.1
2/22/2018,-5.3,62.1,-0.8,0,150,15.7,0,-22.5
2/21/2018,-3.8,-37.6,-49.1,-19.4,0,15.8,0,714
2/20/2018,8.7,95.4,21.3,0,0,31.4,0,11.8
2/19/2018,22.3,65.8,-0.5,0,0,0,-0.1,-9.6
2/16/2018,-29.1,107.3,-2.1,6,0,15.5,1.4,-19
2/15/2018,-41.7,-60.3,0,0,0,15.7,-1.3,19
2/14/2018,-31.1,-213.1,-47.6,5.5,0,15.7,-0.2,-238.9
2/13/2018,-22.3,-2.1,14.9,0,0,15.7,0,35.6
2/12/2018,-5.4,82.2,0,0,0,15.8,0,21.3
2/9/2018,-40.5,192.8,0,110,-0.2,16,0,-77
2/8/2018,-49.3,94.8,0,0,0,15.7,0,13.7
2/7/2018,-22.9,24.9,-35.6,-90,0.2,15.3,0,404.8
2/6/2018,-1,124.7,21.8,0,0,15.2,0,-140.1
2/5/2018,10.7,122.4,0,0,0,15.1,0,-209
2/2/2018,-26.3,179,0,5,0,15.1,0,-21.5
2/1/2018,-19,38.4,0,0,0,15.1,0,-497.5
1/31/2018,15.2,46.3,9.2,80,-200,15,0,-1.9
1/30/2018,28.4,557.2,183.1,0,200,15.2,0,-93.6
1/29/2018,41.4,-54.6,0,0,0,15.1,0,-99.1
1/26/2018,5,62.4,0,20,-0.2,15,0,142.6
1/25/2018,15.6,-752.7,0,0,-0.2,15.1,0,137
1/24/2018,28.1,-267.5,-40.9,-134,0.2,15.1,-0.5,-185.3
1/23/2018,42.1,8.7,6.4,0,-0.3,15.1,0.5,-4.9
1/22/2018,54.6,34.2,0,0,0,15.1,-0.1,-34.5
1/19/2018,4.2,82.4,0,0,-31.9,15.1,0,16
1/18/2018,-2.3,26.3,0,0,0,15.2,0,1.7
1/17/2018,-4,-154.6,-40.9,25.7,0,15.1,0,-666.7
1/16/2018,8,219.4,0,0,-40.9,15.1,0,-5.8
1/15/2018,30.6,-115.8,0,0,0,0,0,-14.6
1/12/2018,-11.1,-62.2,0,-79.6,0,0,0,15.2
1/11/2018,-2.9,-19.9,0,0,-20,0,0,16.2
1/10/2018,38.4,-80.2,-39,-26.6,20,0,0,1449.6
1/9/2018,306.1,-228.2,15.8,0,0,0,0,-845.1
12/29/2017,-5.5,183.8,0,0,0,12.7,0,-471.6
12/28/2017,-103.8,97,0,30,-101.6,12.7,0,-196.6
12/27/2017,-65.5,119,-32.4,0,-120,12.6,0,-22.4
12/26/2017,-34.3,638.6,221.7,0,181.7,25.3,0,39.9
12/25/2017,-9.4,-579.8,0,0,-51.3,0,0,136
12/22/2017,-55.4,3.1,0,9.5,-127,12.6,0,-156.3
12/21/2017,-37.3,199.2,0,0,158,12.7,0,9.8
12/20/2017,-13.5,-219.4,-45.5,-13.3,-150.3,12.7,0,73.4
12/19/2017,-8.2,59,0,0,-77.2,12.7,0.1,9.9
12/18/2017,-1.3,260.1,0,0,201,12.7,-5.6,71.6
12/15/2017,-56.6,145.1,0,0,-100.1,12.6,0.3,-72.7
12/14/2017,-52,-144,0,0,0,12.8,0,262.7
12/13/2017,-31.7,-260.7,-40,-110.8,-129.3,12.6,0.1,-14.9
12/12/2017,-23.2,96.5,18,0,46.1,12.7,0,5.1
12/11/2017,-6.5,80.9,0,22,-1.3,12.7,0,-584.4
12/8/2017,-54.6,619.7,0,0,3,12.8,0,-0.3
12/7/2017,-52.8,84.2,0,0,12,5.9,0,-1.3
12/6/2017,-26.8,340.5,-25.1,0,216,5.8,0,69
12/5/2017,-9.3,-195.8,0,0,-252.4,5.8,0.5,-189.4
12/4/2017,12.6,-82.6,0,0,-101.2,5.8,0,-4
12/1/2017,-22,334.2,0,0,194.4,5.8,0,-3.6
11/30/2017,3,-147.1,0,0,-238.6,5.8,0,-17
11/29/2017,19.4,283.7,-26,0,191,5.8,0,211.9
11/28/2017,31.4,-10.2,8.2,0,72.2,5.8,0,64.2
11/27/2017,55.4,-502.8,0,0,104.5,5.8,0,12.1
11/24/2017,11.3,-184,0,0,-53.9,11.5,0,18.9
11/23/2017,14,-87.5,0,0,-55.6,0,0,-5.4
11/22/2017,21.9,-3.2,-25.2,0,-29.2,5.8,0,-108.6
11/21/2017,29.4,-12.6,21.2,0,-70.3,5.8,0.2,16.9
11/20/2017,40.6,68.8,0,0,15.7,5.8,0,6.8
11/17/2017,-20.1,215,0,40,59.7,5.8,-3.1,-12.4
11/16/2017,-24.8,133.7,0,0,121.1,5.8,1.9,7.8
11/15/2017,-15.8,-99.4,-14.4,-10.1,-4.8,5.9,0.1,-237
11/14/2017,-16.6,46.8,8.4,0,45.6,5.8,0,-0.4
11/13/2017,6.2,21.4,0,0,-1.4,5.8,0,-12
11/10/2017,-40.7,-75.3,0,0,-202.8,5.8,0,-18
11/9/2017,-36.3,83.8,0,0,0.8,5.9,0,41.1
11/8/2017,-3.2,-87.8,-22.4,-171.4,-0.5,3.5,0.1,784.7
11/7/2017,33.1,-31,0,0,-36.7,3.5,0,-839.2
11/3/2017,-40.1,89.5,0,0,-57.9,3.5,0,-77.9
11/2/2017,-38,455,0,0,258.6,3.5,0,0.8
11/1/2017,-9.9,36.6,-25.8,21.2,-56.3,3.5,0,-3.3
10/31/2017,23.5,227.9,1.2,0,68.7,3.5,0,-50.4
10/30/2017,43.1,-158.7,0,0,28,3.6,0,29.7
10/27/2017,2.1,42.3,0,0,21,3.5,0,-13.2
10/26/2017,10.7,-13.7,0,0,0,3.5,0,-15.5
10/25/2017,24,-688.4,-30.5,0,6,3.5,0,536.3
10/24/2017,34.4,-164.9,6.5,0,6.1,3.5,0,-2.9
10/23/2017,47.7,61.1,0,0,7,3.5,0,-446.6
10/20/2017,0.8,113.1,0,23,2,3.5,0,12.1
10/19/2017,2.1,15.7,0,0,0,3.5,0,-1.1
10/18/2017,6.4,2.1,-29.9,0,0,3.5,0,24.2
10/17/2017,8.6,54.4,22.7,0,-17.2,3.5,-1.6,-31.8
10/16/2017,19.1,89.3,0,0,0,3.5,9.4,15.1
10/13/2017,-42.3,89.1,0,31.8,-0.1,3.5,27.3,-1.2
10/12/2017,-52.6,24.5,0,0,0,3.5,0.3,-469.7
10/11/2017,-23.5,-91.3,-31.4,8.2,-100,3.5,0,460.4
10/10/2017,-13.4,-52,12.3,0,-160.5,7.1,0,-140.1
10/9/2017,8.7,150.3,0,0,0,0,0,-26.5
10/6/2017,-32.7,110.2,0,26,-0.1,3.4,0,-304.9
10/5/2017,-36.2,77.6,0,0,0,3.4,0.3,20.1
10/4/2017,-17,14.8,-30,8.8,-15.2,3.4,0,-75.6
10/3/2017,-5,83.4,10.6,0,-12.9,3.4,0,4
10/2/2017,28.7,-14.5,0,0,18.5,3.4,0,14.4
9/29/2017,7.7,320.3,0,35,12.5,3.4,0,-22.3
9/28/2017,8.6,7.6,0,0,-2.2,3.4,0,14
9/27/2017,17.2,58.2,-25,9.6,0.2,3.4,-26.6,-13.3
9/26/2017,32.2,-88.5,13.5,0,-79.4,3.4,-0.2,-55.8
9/25/2017,50.8,-725.4,0,0,0.2,3.3,0.2,245.8
9/22/2017,-24.6,222.2,0,184,-9.1,3.4,0,-199.5
9/21/2017,-7.3,44.1,0,0,-19.9,3.4,0,-30.2
9/20/2017,9.1,429.2,-41.5,403.8,-0.1,3.4,0,179.9
9/19/2017,15.9,144.9,0,0,102.2,3.4,0,-574.3
9/18/2017,32,459,0,0,99.8,3.4,0.3,351.6
9/15/2017,-28.6,70.3,0,-100.2,97.9,3.4,2.4,67.5
9/14/2017,-30.2,-59.2,0,0,0,3.4,0.2,-272.5
9/13/2017,-13,-191.5,-36.2,-151.2,0,3.4,0,99.1
9/12/2017,-5.7,17,11.4,0,-51.6,3.4,0,-79.2
9/11/2017,13.4,-4.1,0,0,-50.1,3.4,0,-63.4
9/8/2017,-35.1,115.8,0,100,-50.3,3.4,0.1,-44.3
9/7/2017,-35.4,19.9,0,0,-32.7,2.1,0,-26.2
9/6/2017,-13.5,-126.8,-41.2,-113.2,0,2.1,0,207.9
9/5/2017,5.3,-68.7,0,0,-167.6,4.1,0,-130.2
9/4/2017,27,2.6,0,0,49.8,0,0,-27.2
9/1/2017,-23.2,303.4,0,0,250,2,0,-260.4
8/31/2017,-2.7,-80,0,0,-98.1,2.1,0,-27
8/30/2017,10.9,192.1,0,70,-50.1,2.1,0,-7.1
8/29/2017,26.5,180.2,8.6,0,100.1,2.1,0,39.9
8/28/2017,45.5,65.3,0,0,100,2.1,0,-5.1
8/25/2017,7.1,-510.6,0,0,-6,2.1,0,64.9
8/24/2017,13,-178.8,0,0,0,2.1,0,102.3
8/23/2017,22.8,-127.4,-40.5,-51.5,-16,2.1,0,-155
8/22/2017,35.4,162.4,21.6,0,45.7,2.1,0,-42.9
8/21/2017,42.9,8.4,0,0,-35.2,2.1,0,2.6
8/18/2017,-17.7,-211.4,0,0,-310.8,2.1,0,-10
8/17/2017,-28.8,269.7,0,0,169,2.1,0,15.3
8/16/2017,-10.6,139.3,-41.6,93.9,30,2.1,-6.5,-222.2
8/15/2017,-0.5,-72.2,11.8,0,15.4,2,-1.7,9.8
8/14/2017,9,-54.8,0,0,-1.7,2.1,0,6.8
8/11/2017,-43.7,63.9,0,0,-13.7,2.1,0,47.2
8/10/2017,-40.6,-41.8,0,0,-47.4,2.1,0,24.2
8/9/2017,-16.3,354.9,-41.6,49.2,300,2,0,555.6
8/8/2017,-2.4,-8.9,71.3,0,-171.7,2,0,-195.8
8/7/2017,16.4,5.9,0,-50.1,-28.3,0,0,-238.2
8/4/2017,-37.9,-120.7,0,0,-251.4,0,0,-74.1
8/3/2017,-39.8,278.9,0,0,153.2,0,0,-44.4
8/2/2017,-11.1,-50.3,-24.5,-33.3,-60.6,0,0,-79
8/1/2017,18.4,59.6,31.8,0,3.1,0,0,14.6
7/31/2017,52.6,-153.4,0,50,-256.5,0,0,76.2
7/28/2017,7.8,-36,0,0,27.1,0,0,35.5
7/27/2017,9,-48.9,0,0,-0.1,0,0,8.6
7/26/2017,28.3,76.2,-30.3,0,-0.1,0,0,67.7
7/25/2017,43.9,-519.9,5.5,0,70,0,0,77.8
7/24/2017,52.2,-188.2,0,0,-43.2,0,0,0.8
