DATE,MOSPRIME_ONE_DAY,MOSPRIME_ONE_WEEK,MOSPRIME_TWO_WEEKS,MOSPRIME_ONE_MONTH
3/1/2018,7.63,7.63,7.58,7.54
2/28/2018,7.61,7.62,7.56,7.56
2/27/2018,7.56,7.59,7.54,7.53
2/26/2018,7.56,7.58,7.51,7.48
2/22/2018,7.52,7.53,7.48,7.45
2/21/2018,7.53,7.52,7.48,7.44
2/20/2018,7.51,7.48,7.47,7.42
2/19/2018,7.46,7.43,7.43,7.42
2/16/2018,7.39,7.38,7.38,7.4
2/15/2018,7.31,7.35,7.34,7.36
2/14/2018,7.26,7.32,7.32,7.35
2/13/2018,7.18,7.29,7.32,7.36
2/12/2018,7.21,7.32,7.34,7.4
2/9/2018,7.44,7.43,7.47,7.52
2/8/2018,7.46,7.48,7.49,7.54
2/7/2018,7.49,7.53,7.55,7.59
2/6/2018,7.53,7.53,7.56,7.61
2/5/2018,7.5,7.53,7.55,7.61
2/2/2018,7.52,7.58,7.59,7.66
2/1/2018,7.56,7.61,7.6,7.68
1/31/2018,7.53,7.58,7.61,7.68
1/30/2018,7.57,7.59,7.61,7.68
1/29/2018,7.52,7.58,7.62,7.68
1/26/2018,7.48,7.59,7.63,7.7
1/25/2018,7.38,7.58,7.63,7.7
1/24/2018,7.36,7.58,7.64,7.72
1/23/2018,7.39,7.61,7.68,7.73
1/22/2018,7.4,7.62,7.69,7.76
1/19/2018,7.42,7.67,7.73,7.78
1/18/2018,7.38,7.68,7.74,7.79
1/17/2018,7.35,7.68,7.74,7.79
1/16/2018,7.36,7.68,7.76,7.81
1/15/2018,7.38,7.7,7.78,7.82
1/12/2018,7.42,7.69,7.77,7.81
1/11/2018,7.5,7.73,7.78,7.82
1/10/2018,7.53,7.76,7.78,7.82
1/9/2018,7.72,7.78,7.79,7.84
1/5/2018,— ,— ,— ,— 
1/4/2018,— ,— ,— ,— 
1/3/2018,— ,— ,— ,— 
12/29/2017,7.82,7.69,7.75,7.84
12/28/2017,7.82,7.85,7.84,7.86
12/27/2017,7.98,7.98,7.93,7.91
12/26/2017,7.98,7.98,7.94,7.91
12/25/2017,7.98,7.95,7.93,7.91
12/22/2017,7.89,7.91,7.91,7.9
12/21/2017,7.88,7.91,7.91,7.9
12/20/2017,7.9,7.91,7.91,7.9
12/19/2017,7.93,7.91,7.91,7.9
12/18/2017,7.92,7.96,7.99,7.95
12/15/2017,8.26,8.26,8.28,8.28
12/14/2017,8.21,8.24,8.29,8.33
12/13/2017,8.24,8.31,8.33,8.36
12/12/2017,8.26,8.33,8.33,8.36
12/11/2017,8.37,8.34,8.34,8.37
12/8/2017,8.4,8.41,8.38,8.38
12/7/2017,8.42,8.39,8.39,8.38
12/6/2017,8.44,8.4,8.38,8.38
12/5/2017,8.27,8.34,8.34,8.38
12/4/2017,8.35,8.37,8.37,8.38
12/1/2017,8.4,8.39,8.39,8.38
11/30/2017,8.45,8.38,8.38,8.38
11/29/2017,8.47,8.39,8.38,8.37
11/28/2017,8.39,8.35,8.36,8.36
11/27/2017,8.33,8.31,8.33,8.36
11/24/2017,8.3,8.32,8.33,8.36
11/23/2017,8.29,8.31,8.33,8.36
11/22/2017,8.3,8.31,8.33,8.36
11/21/2017,8.29,8.31,8.33,8.36
11/20/2017,8.28,8.31,8.33,8.36
11/17/2017,8.27,8.31,8.33,8.36
11/16/2017,8.3,8.33,8.34,8.37
11/15/2017,8.25,8.3,8.32,8.36
11/14/2017,8.23,8.28,8.3,8.36
11/13/2017,8.22,8.27,8.3,8.36
11/10/2017,8.2,8.26,8.29,8.36
11/9/2017,8.18,8.26,8.29,8.36
11/8/2017,8.1,8.27,8.31,8.36
11/7/2017,8.12,8.31,8.33,8.37
11/3/2017,8.33,8.36,8.36,8.37
11/2/2017,8.37,8.34,8.34,8.37
11/1/2017,8.33,8.32,8.31,8.35
10/31/2017,8.3,8.31,8.3,8.34
10/30/2017,8.24,8.28,8.29,8.34
10/27/2017,8.26,8.28,8.3,8.4
10/26/2017,8.27,8.32,8.33,8.43
10/25/2017,8.25,8.33,8.33,8.43
10/24/2017,8.22,8.35,8.35,8.45
10/23/2017,8.3,8.4,8.42,8.48
10/20/2017,8.16,8.33,8.39,8.48
10/19/2017,8.21,8.38,8.44,8.52
10/18/2017,8.28,8.43,8.5,8.59
10/17/2017,8.5,8.53,8.56,8.62
10/16/2017,8.5,8.52,8.53,8.59
10/13/2017,8.48,8.49,8.52,8.57
10/12/2017,8.4,8.48,8.53,8.57
10/11/2017,8.3,8.53,8.57,8.66
10/10/2017,8.52,8.59,8.6,8.68
10/9/2017,8.56,8.58,8.58,8.68
10/6/2017,8.44,8.49,8.54,8.66
10/5/2017,8.29,8.47,8.55,8.67
10/4/2017,8.44,8.54,8.59,8.68
10/3/2017,8.59,8.65,8.65,8.68
10/2/2017,8.65,8.64,8.64,8.67
9/29/2017,8.7,8.66,8.63,8.66
9/28/2017,8.65,8.59,8.58,8.65
9/27/2017,8.42,8.53,8.54,8.63
9/26/2017,8.35,8.53,8.54,8.63
9/25/2017,8.4,8.53,8.55,8.65
9/22/2017,8.37,8.55,8.57,8.68
9/21/2017,8.37,8.53,8.55,8.68
9/20/2017,8.38,8.53,8.55,8.68
9/19/2017,8.38,8.56,8.58,8.68
9/18/2017,8.42,8.6,8.63,8.69
9/15/2017,8.82,8.78,8.8,8.87
9/14/2017,8.72,8.75,8.78,8.88
9/13/2017,8.62,8.74,8.8,8.89
9/12/2017,8.65,8.87,8.9,8.97
9/11/2017,8.69,8.88,8.94,9
9/8/2017,8.7,8.9,8.97,9.03
9/7/2017,8.83,8.99,9.03,9.07
9/6/2017,8.91,9.06,9.05,9.1
9/5/2017,9,9.08,9.08,9.11
