DATE,ROISFIX_ONE_WEEK,ROISFIX_TWO_WEEKS,ROISFIX_ONE_MONTH
7/24/2017,8.94,8.94,8.93
7/25/2017,8.94,8.94,8.93
7/26/2017,8.94,8.94,8.93
7/27/2017,8.94,8.94,8.93
7/28/2017,8.94,8.94,8.93
7/31/2017,8.96,8.95,8.95
8/1/2017,8.96,8.96,8.95
8/2/2017,8.98,8.98,8.98
8/3/2017,8.99,8.98,8.98
8/4/2017,8.98,8.99,9
8/7/2017,8.98,8.98,8.98
8/8/2017,8.98,8.98,8.97
8/9/2017,8.98,8.98,8.97
8/10/2017,8.97,8.98,8.97
8/11/2017,8.93,8.96,8.96
8/14/2017,8.93,8.95,8.96
8/15/2017,8.92,8.95,8.96
8/16/2017,8.9,8.93,8.93
8/17/2017,8.9,8.93,8.91
8/18/2017,8.9,8.93,8.91
8/21/2017,8.86,8.9,8.89
8/22/2017,8.83,8.87,8.88
8/23/2017,8.81,8.85,8.87
8/24/2017,8.81,8.85,8.87
8/25/2017,8.79,8.82,8.85
8/28/2017,8.75,8.76,8.83
8/29/2017,8.73,8.74,8.81
8/30/2017,8.73,8.74,8.8
8/31/2017,8.73,8.74,8.76
9/1/2017,8.73,8.74,8.75
9/4/2017,8.72,8.73,8.72
9/5/2017,8.71,8.73,8.69
9/6/2017,8.72,8.73,8.65
9/7/2017,8.72,8.7,8.63
9/8/2017,8.72,8.7,8.63
9/11/2017,8.71,8.69,8.63
9/12/2017,8.7,8.68,8.62
9/13/2017,8.7,8.67,8.61
9/14/2017,8.68,8.66,8.6
9/15/2017,8.65,8.65,8.59
9/18/2017,8.59,8.57,8.53
9/19/2017,8.57,8.54,8.5
9/20/2017,8.53,8.5,8.47
9/21/2017,8.51,8.48,8.42
9/22/2017,8.51,8.48,8.41
9/25/2017,8.41,8.39,8.37
9/26/2017,8.35,8.32,8.32
9/27/2017,8.34,8.31,8.32
9/28/2017,8.3,8.28,8.29
9/29/2017,8.31,8.29,8.3
10/2/2017,8.29,8.27,8.29
10/3/2017,8.32,8.3,8.32
10/4/2017,8.33,8.31,8.33
10/5/2017,8.33,8.31,8.32
10/6/2017,8.32,8.3,8.3
10/9/2017,8.31,8.3,8.3
10/10/2017,8.31,8.3,8.3
10/11/2017,8.31,8.3,8.3
10/12/2017,8.24,8.25,8.25
10/13/2017,8.18,8.2,8.2
10/16/2017,8.17,8.18,8.19
10/17/2017,8.19,8.18,8.19
10/18/2017,8.13,8.14,8.13
10/19/2017,8.11,8.11,8.09
10/20/2017,8.1,8.09,8.07
10/23/2017,8.1,8.08,8.04
10/24/2017,8.07,8.04,8.02
10/25/2017,8.05,8.03,7.99
10/26/2017,8.04,8.02,7.99
10/27/2017,8.04,8,7.99
10/30/2017,7.99,7.97,7.96
10/31/2017,7.97,7.96,7.96
11/1/2017,7.95,7.95,7.95
11/2/2017,7.95,7.95,7.95
11/3/2017,7.96,7.95,7.95
11/7/2017,7.94,7.94,7.95
11/8/2017,7.94,7.94,7.94
11/9/2017,7.93,7.93,7.94
11/10/2017,7.91,7.91,7.92
11/13/2017,7.9,7.9,7.9
11/14/2017,7.91,7.91,7.91
11/15/2017,7.91,7.91,7.91
11/16/2017,7.93,7.93,7.92
11/17/2017,7.94,7.93,7.92
11/20/2017,7.94,7.94,7.92
11/21/2017,7.95,7.94,7.92
11/22/2017,7.95,7.94,7.92
11/23/2017,7.95,7.94,7.92
11/24/2017,7.95,7.94,7.91
11/27/2017,7.95,7.94,7.91
11/28/2017,7.94,7.94,7.91
11/29/2017,7.94,7.94,7.91
11/30/2017,7.94,7.94,7.9
12/1/2017,7.94,7.94,7.9
12/4/2017,7.94,7.94,7.89
12/5/2017,7.96,7.95,7.89
12/6/2017,7.96,7.95,7.89
12/7/2017,7.97,7.95,7.89
12/8/2017,7.97,7.95,7.89
12/11/2017,7.96,7.95,7.89
12/12/2017,7.98,7.94,7.9
12/13/2017,7.99,7.94,7.9
12/14/2017,7.95,7.91,7.88
12/15/2017,7.93,7.9,7.87
12/18/2017,7.79,7.77,7.75
12/19/2017,7.7,7.69,7.67
12/20/2017,7.62,7.62,7.6
