DATE,Открытие,Максимум,Минимум,Закрытие
3/1/2018,1278.68,1283.3,1266.51,1274.18
2/28/2018,1308.81,1308.81,1285.47,1285.47
2/27/2018,1332.58,1332.78,1310.84,1310.84
2/26/2018,1312.03,1339.41,1311.29,1324.62
2/22/2018,1285.67,1301.01,1279.77,1301.01
2/21/2018,1263.31,1291.19,1260.51,1291.19
2/20/2018,1258.51,1266.1,1254.84,1264.68
2/19/2018,1259.93,1267.32,1255.87,1259.01
2/16/2018,1265.9,1276.31,1255.05,1263.27
2/15/2018,1259.77,1271.46,1259.38,1262.27
2/14/2018,1231.54,1244.85,1218.3,1244.85
2/13/2018,1212.44,1226.92,1210.6,1226.92
2/12/2018,1191.86,1212.51,1191.86,1206.22
2/9/2018,1191.56,1199.25,1177.54,1185.79
2/8/2018,1229.76,1231.93,1210.69,1210.69
2/7/2018,1245.1,1257.71,1239.07,1242.53
2/6/2018,1229.83,1247.51,1220.94,1232.69
2/5/2018,1266.03,1269.43,1254.93,1263.77
2/2/2018,1297.49,1298.25,1269.58,1272.76
2/1/2018,1284.7,1297.51,1279.6,1293.1
1/31/2018,1273.24,1284.58,1269.26,1282.36
1/30/2018,1273.31,1292.04,1266.48,1274.94
1/29/2018,1285.32,1290.58,1272.79,1275.57
1/26/2018,1305.25,1307.03,1281.37,1286.7
1/25/2018,1296.23,1313.44,1296.23,1311.21
1/24/2018,1284.39,1292.32,1273.95,1292.32
1/23/2018,1289.03,1294.2,1270.18,1283.75
1/22/2018,1269.72,1285.33,1269.72,1285.33
1/19/2018,1280.91,1283.96,1265.53,1270.92
1/18/2018,1265.26,1282.09,1264.37,1279.28
1/17/2018,1254.23,1264.7,1241.19,1264.7
1/16/2018,1264.95,1266.44,1245.35,1261.09
1/15/2018,1261.35,1273.07,1259.66,1264.3
1/12/2018,1253.7,1261.07,1242.63,1261.07
1/11/2018,1233.17,1248.75,1227.05,1248.75
1/10/2018,1231.13,1236.53,1225.14,1234.64
1/9/2018,1222.38,1238.26,1222.38,1229.15
1/5/2018,1216.67,1219.89,1208.42,1219.89
1/4/2018,1185.05,1214.17,1185.05,1214.17
1/3/2018,1154.44,1183.06,1154.44,1183.06
12/29/2017,1151.75,1154.43,1142.11,1154.43
12/28/2017,1148.94,1151.29,1143.33,1150.58
12/27/2017,1147.57,1152.09,1145.46,1148.92
12/26/2017,1144.24,1147.27,1137.88,1144.97
12/25/2017,1138.43,1145.62,1138.3,1143.94
12/22/2017,1129.2,1139.1,1128.9,1135.7
12/21/2017,1127.59,1131.13,1121.56,1126.97
12/20/2017,1134.67,1137,1128.48,1129.33
12/19/2017,1145.92,1149.6,1134.58,1134.58
12/18/2017,1149.13,1157.43,1139.84,1147.91
12/15/2017,1153.39,1153.39,1142.28,1148.27
12/14/2017,1146.04,1153.32,1143.65,1153.32
12/13/2017,1143.5,1149.46,1137.91,1141.5
12/12/2017,1149.04,1155.03,1145.27,1149.88
12/11/2017,1120.62,1144.35,1120.62,1144.35
12/8/2017,1121.13,1126.64,1114.91,1119.54
12/7/2017,1128.2,1128.2,1117.27,1119.51
12/6/2017,1132.08,1133.01,1123.4,1131.38
12/5/2017,1134.55,1135.1,1128.54,1134.25
