DATE,"до 30 дней, включая ''до востребова-ния''",от 31 до 90 дней,от 91 до 180 дней,от 181 дня до 1 года,"до 1 года, включая ''до востребова-ния''",от 1 года до 3 лет,свыше 3 лет,свыше 1 года
7/24/2017,7.63,8.04,8.04,8.14,7.66,8.05,8.09,8.05
7/25/2017,7.63,8.04,8.04,8.14,7.66,8.05,8.09,8.05
7/26/2017,7.63,8.04,8.04,8.14,7.66,8.05,8.09,8.05
7/27/2017,7.63,8.04,8.04,8.14,7.66,8.05,8.09,8.05
7/28/2017,7.63,8.04,8.04,8.14,7.66,8.05,8.09,8.05
7/29/2017,7.63,8.04,8.04,8.14,7.66,8.05,8.09,8.05
7/30/2017,7.63,8.04,8.04,8.14,7.66,8.05,8.09,8.05
7/31/2017,7.63,8.04,8.04,8.14,7.66,8.05,8.09,8.05
8/1/2017,7.45,7.90,8.05,8.20,7.48,9.10,8.41,9.08
8/2/2017,7.45,7.90,8.05,8.20,7.48,9.10,8.41,9.08
8/3/2017,7.45,7.90,8.05,8.20,7.48,9.10,8.41,9.08
8/4/2017,7.45,7.90,8.05,8.20,7.48,9.10,8.41,9.08
8/5/2017,7.45,7.90,8.05,8.20,7.48,9.10,8.41,9.08
8/6/2017,7.45,7.90,8.05,8.20,7.48,9.10,8.41,9.08
8/7/2017,7.45,7.90,8.05,8.20,7.48,9.10,8.41,9.08
8/8/2017,7.45,7.90,8.05,8.20,7.48,9.10,8.41,9.08
8/9/2017,7.45,7.90,8.05,8.20,7.48,9.10,8.41,9.08
8/10/2017,7.45,7.90,8.05,8.20,7.48,9.10,8.41,9.08
8/11/2017,7.45,7.90,8.05,8.20,7.48,9.10,8.41,9.08
8/12/2017,7.45,7.90,8.05,8.20,7.48,9.10,8.41,9.08
8/13/2017,7.45,7.90,8.05,8.20,7.48,9.10,8.41,9.08
8/14/2017,7.45,7.90,8.05,8.20,7.48,9.10,8.41,9.08
8/15/2017,7.45,7.90,8.05,8.20,7.48,9.10,8.41,9.08
8/16/2017,7.45,7.90,8.05,8.20,7.48,9.10,8.41,9.08
8/17/2017,7.45,7.90,8.05,8.20,7.48,9.10,8.41,9.08
8/18/2017,7.45,7.90,8.05,8.20,7.48,9.10,8.41,9.08
8/19/2017,7.45,7.90,8.05,8.20,7.48,9.10,8.41,9.08
8/20/2017,7.45,7.90,8.05,8.20,7.48,9.10,8.41,9.08
8/21/2017,7.45,7.90,8.05,8.20,7.48,9.10,8.41,9.08
8/22/2017,7.45,7.90,8.05,8.20,7.48,9.10,8.41,9.08
8/23/2017,7.45,7.90,8.05,8.20,7.48,9.10,8.41,9.08
8/24/2017,7.45,7.90,8.05,8.20,7.48,9.10,8.41,9.08
8/25/2017,7.45,7.90,8.05,8.20,7.48,9.10,8.41,9.08
8/26/2017,7.45,7.90,8.05,8.20,7.48,9.10,8.41,9.08
8/27/2017,7.45,7.90,8.05,8.20,7.48,9.10,8.41,9.08
8/28/2017,7.45,7.90,8.05,8.20,7.48,9.10,8.41,9.08
8/29/2017,7.45,7.90,8.05,8.20,7.48,9.10,8.41,9.08
8/30/2017,7.45,7.90,8.05,8.20,7.48,9.10,8.41,9.08
8/31/2017,7.45,7.90,8.05,8.20,7.48,9.10,8.41,9.08
9/1/2017,7.29,7.77,7.70,7.73,7.32,7.67,8.71,8.35
9/2/2017,7.29,7.77,7.70,7.73,7.32,7.67,8.71,8.35
9/3/2017,7.29,7.77,7.70,7.73,7.32,7.67,8.71,8.35
9/4/2017,7.29,7.77,7.70,7.73,7.32,7.67,8.71,8.35
9/5/2017,7.29,7.77,7.70,7.73,7.32,7.67,8.71,8.35
9/6/2017,7.29,7.77,7.70,7.73,7.32,7.67,8.71,8.35
9/7/2017,7.29,7.77,7.70,7.73,7.32,7.67,8.71,8.35
9/8/2017,7.29,7.77,7.70,7.73,7.32,7.67,8.71,8.35
9/9/2017,7.29,7.77,7.70,7.73,7.32,7.67,8.71,8.35
9/10/2017,7.29,7.77,7.70,7.73,7.32,7.67,8.71,8.35
9/11/2017,7.29,7.77,7.70,7.73,7.32,7.67,8.71,8.35
9/12/2017,7.29,7.77,7.70,7.73,7.32,7.67,8.71,8.35
9/13/2017,7.29,7.77,7.70,7.73,7.32,7.67,8.71,8.35
9/14/2017,7.29,7.77,7.70,7.73,7.32,7.67,8.71,8.35
9/15/2017,7.29,7.77,7.70,7.73,7.32,7.67,8.71,8.35
9/16/2017,7.29,7.77,7.70,7.73,7.32,7.67,8.71,8.35
9/17/2017,7.29,7.77,7.70,7.73,7.32,7.67,8.71,8.35
9/18/2017,7.29,7.77,7.70,7.73,7.32,7.67,8.71,8.35
9/19/2017,7.29,7.77,7.70,7.73,7.32,7.67,8.71,8.35
