DATE,"CREDITS_TO_COMPANIES_TEMPO_MONTH
"
3/1/2018,0.3
2/28/2018,0.3
2/27/2018,0.3
2/26/2018,0.3
2/22/2018,0.3
2/21/2018,0.3
2/20/2018,0.3
2/19/2018,0.3
2/16/2018,0.3
2/15/2018,0.3
2/14/2018,0.3
2/13/2018,0.3
2/12/2018,0.3
2/9/2018,0.3
2/8/2018,0.3
2/7/2018,0.3
2/6/2018,0.3
2/5/2018,0.3
2/2/2018,0.3
2/1/2018,0.3
1/31/2018,0.0
1/30/2018,0.0
1/29/2018,0.0
1/26/2018,0.0
1/25/2018,0.0
1/24/2018,0.0
1/23/2018,0.0
1/22/2018,0.0
1/19/2018,0.0
1/18/2018,0.0
1/17/2018,0.0
1/16/2018,0.0
1/15/2018,0.0
1/12/2018,0.0
1/11/2018,0.0
1/10/2018,0.0
1/9/2018,0.0
12/29/2017,0.5
12/28/2017,0.5
12/27/2017,0.5
12/26/2017,0.5
12/25/2017,0.5
12/22/2017,0.5
12/21/2017,0.5
12/20/2017,0.5
12/19/2017,0.5
12/18/2017,0.5
12/15/2017,0.5
12/14/2017,0.5
12/13/2017,0.5
12/12/2017,0.5
12/11/2017,0.5
12/8/2017,0.5
12/7/2017,0.5
12/6/2017,0.5
12/5/2017,0.5
12/4/2017,0.5
12/1/2017,0.5
11/30/2017,-0.1
11/29/2017,-0.1
11/28/2017,-0.1
11/27/2017,-0.1
11/24/2017,-0.1
11/23/2017,-0.1
11/22/2017,-0.1
11/21/2017,-0.1
11/20/2017,-0.1
11/17/2017,-0.1
11/16/2017,-0.1
11/15/2017,-0.1
11/14/2017,-0.1
11/13/2017,-0.1
11/10/2017,-0.1
11/9/2017,-0.1
11/8/2017,-0.1
11/7/2017,-0.1
11/3/2017,-0.1
11/2/2017,-0.1
11/1/2017,-0.1
10/31/2017,0.1
10/30/2017,0.1
10/27/2017,0.1
10/26/2017,0.1
10/25/2017,0.1
10/24/2017,0.1
10/23/2017,0.1
10/20/2017,0.1
10/19/2017,0.1
10/18/2017,0.1
10/17/2017,0.1
10/16/2017,0.1
10/13/2017,0.1
10/12/2017,0.1
10/11/2017,0.1
10/10/2017,0.1
10/9/2017,0.1
10/6/2017,0.1
10/5/2017,0.1
10/4/2017,0.1
10/3/2017,0.1
10/2/2017,0.1
9/29/2017,-0.3
9/28/2017,-0.3
9/27/2017,-0.3
9/26/2017,-0.3
9/25/2017,-0.3
9/22/2017,-0.3
9/21/2017,-0.3
9/20/2017,-0.3
9/19/2017,-0.3
9/18/2017,-0.3
9/15/2017,-0.3
9/14/2017,-0.3
9/13/2017,-0.3
9/12/2017,-0.3
9/11/2017,-0.3
9/8/2017,-0.3
9/7/2017,-0.3
9/6/2017,-0.3
9/5/2017,-0.3
9/4/2017,-0.3
9/1/2017,-0.3
8/31/2017,0.3
8/30/2017,0.3
8/29/2017,0.3
8/28/2017,0.3
8/25/2017,0.3
8/24/2017,0.3
8/23/2017,0.3
8/22/2017,0.3
8/21/2017,0.3
8/18/2017,0.3
8/17/2017,0.3
8/16/2017,0.3
8/15/2017,0.3
8/14/2017,0.3
8/11/2017,0.3
8/10/2017,0.3
8/9/2017,0.3
8/8/2017,0.3
8/7/2017,0.3
8/4/2017,0.3
8/3/2017,0.3
8/2/2017,0.3
8/1/2017,0.3
7/31/2017,1.4
7/28/2017,1.4
7/27/2017,1.4
7/26/2017,1.4
7/25/2017,1.4
7/24/2017,1.4
