DATE,MEAN_PERCENTS,"LESS_YEAR_DEPOSITS_TO_COMPANIES_RATES
",OVER_YEAR_DEPOSITS_TO_COMPANIES_RATES,MEAN_LESS_YEAR_30,MEAN_OVER_YEAR_30,GOV_REPO_RATE,BANK_ASSETS_TEMPO_MONTH,BANK_WEALTH_TEMPO_MONTH,"CREDITS_TO_COMPANIES_TEMPO_MONTH
",CREDITS_TO_PEOPLE_TEMPO_MONTH,DEPOSITS_FROM_COMPANIES_TEMPO_MONTH
24.07.17,8.0,7.77,8.08,7.645,8.063333333333334,8.5,1.8,-0.4,1.4,1.1,0.6
25.07.17,8.0,7.77,8.08,7.645,8.063333333333334,8.5,1.8,-0.4,1.4,1.1,0.6
26.07.17,8.0,7.77,8.08,7.645,8.063333333333334,8.5,1.8,-0.4,1.4,1.1,0.6
27.07.17,8.0,7.77,8.08,7.645,8.063333333333334,8.5,1.8,-0.4,1.4,1.1,0.6
28.07.17,8.0,7.77,8.08,7.645,8.063333333333334,8.5,1.8,-0.4,1.4,1.1,0.6
31.07.17,8.0,7.77,8.08,7.645,8.063333333333334,8.5,1.8,-0.4,1.4,1.1,0.6
01.08.17,8.0,7.6,9.09,7.465,8.863333333333332,8.5,0.6,1.7,0.3,1.3,0.5
02.08.17,8.0,7.6,9.09,7.465,8.863333333333332,8.5,0.6,1.7,0.3,1.3,0.5
03.08.17,8.0,7.6,9.09,7.465,8.863333333333332,8.5,0.6,1.7,0.3,1.3,0.5
04.08.17,8.0,7.6,9.09,7.465,8.863333333333332,8.5,0.6,1.7,0.3,1.3,0.5
07.08.17,8.0,7.6,9.09,7.465,8.863333333333332,8.5,0.6,1.7,0.3,1.3,0.5
08.08.17,8.0,7.6,9.09,7.465,8.863333333333332,8.5,0.6,1.7,0.3,1.3,0.5
09.08.17,8.0,7.6,9.09,7.465,8.863333333333332,8.5,0.6,1.7,0.3,1.3,0.5
10.08.17,8.0,7.6,9.09,7.465,8.863333333333332,8.5,0.6,1.7,0.3,1.3,0.5
11.08.17,8.0,7.6,9.09,7.465,8.863333333333332,8.5,0.6,1.7,0.3,1.3,0.5
14.08.17,8.0,7.6,9.09,7.465,8.863333333333332,8.5,0.6,1.7,0.3,1.3,0.5
15.08.17,8.0,7.6,9.09,7.465,8.863333333333332,8.5,0.6,1.7,0.3,1.3,0.5
16.08.17,8.0,7.6,9.09,7.465,8.863333333333332,8.5,0.6,1.7,0.3,1.3,0.5
17.08.17,8.0,7.6,9.09,7.465,8.863333333333332,8.5,0.6,1.7,0.3,1.3,0.5
18.08.17,8.0,7.6,9.09,7.465,8.863333333333332,8.5,0.6,1.7,0.3,1.3,0.5
21.08.17,8.0,7.6,9.09,7.465,8.863333333333332,8.5,0.6,1.7,0.3,1.3,0.5
22.08.17,8.0,7.6,9.09,7.465,8.863333333333332,8.5,0.6,1.7,0.3,1.3,0.5
23.08.17,8.0,7.6,9.09,7.465,8.863333333333332,8.5,0.6,1.7,0.3,1.3,0.5
24.08.17,8.0,7.6,9.09,7.465,8.863333333333332,8.5,0.6,1.7,0.3,1.3,0.5
25.08.17,8.0,7.6,9.09,7.465,8.863333333333332,8.5,0.6,1.7,0.3,1.3,0.5
28.08.17,8.0,7.6,9.09,7.465,8.863333333333332,8.5,0.6,1.7,0.3,1.3,0.5
29.08.17,8.0,7.6,9.09,7.465,8.863333333333332,8.5,0.6,1.7,0.3,1.3,0.5
30.08.17,8.0,7.6,9.09,7.465,8.863333333333332,8.5,0.6,1.7,0.3,1.3,0.5
31.08.17,8.0,7.6,9.09,7.465,8.863333333333332,8.5,0.6,1.7,0.3,1.3,0.5
01.09.17,8.0,7.44,8.39,7.305,8.243333333333334,8.5,1.0,0.0,-0.3,1.6,-0.8
04.09.17,8.0,7.44,8.39,7.305,8.243333333333334,8.5,1.0,0.0,-0.3,1.6,-0.8
05.09.17,8.0,7.44,8.39,7.305,8.243333333333334,8.5,1.0,0.0,-0.3,1.6,-0.8
06.09.17,8.0,7.44,8.39,7.305,8.243333333333334,8.5,1.0,0.0,-0.3,1.6,-0.8
07.09.17,8.0,7.44,8.39,7.305,8.243333333333334,8.5,1.0,0.0,-0.3,1.6,-0.8
08.09.17,8.0,7.44,8.39,7.305,8.243333333333334,8.5,1.0,0.0,-0.3,1.6,-0.8
11.09.17,8.0,7.44,8.39,7.305,8.243333333333334,8.5,1.0,0.0,-0.3,1.6,-0.8
12.09.17,8.0,7.44,8.39,7.305,8.243333333333334,8.5,1.0,0.0,-0.3,1.6,-0.8
13.09.17,8.0,7.44,8.39,7.305,8.243333333333334,8.5,1.0,0.0,-0.3,1.6,-0.8
14.09.17,8.0,7.44,8.39,7.305,8.243333333333334,8.5,1.0,0.0,-0.3,1.6,-0.8
15.09.17,8.0,7.44,8.39,7.305,8.243333333333334,8.5,1.0,0.0,-0.3,1.6,-0.8
18.09.17,7.5,7.44,8.39,7.305,8.243333333333334,8.5,1.0,0.0,-0.3,1.6,-0.8
19.09.17,7.5,7.44,8.39,7.305,8.243333333333334,8.5,1.0,0.0,-0.3,1.6,-0.8
20.09.17,7.5,7.44,8.39,7.305,8.243333333333334,8.5,1.0,0.0,-0.3,1.6,-0.8
21.09.17,7.5,7.44,8.39,7.305,8.243333333333334,8.5,1.0,0.0,-0.3,1.6,-0.8
22.09.17,7.5,7.44,8.39,7.305,8.243333333333334,8.5,1.0,0.0,-0.3,1.6,-0.8
25.09.17,7.5,7.44,8.39,7.305,8.243333333333334,8.5,1.0,0.0,-0.3,1.6,-0.8
26.09.17,7.5,7.44,8.39,7.305,8.243333333333334,8.5,1.0,0.0,-0.3,1.6,-0.8
27.09.17,7.5,7.44,8.39,7.305,8.243333333333334,8.5,1.0,0.0,-0.3,1.6,-0.8
28.09.17,7.5,7.44,8.39,7.305,8.243333333333334,8.5,1.0,0.0,-0.3,1.6,-0.8
29.09.17,7.5,7.44,8.39,7.305,8.243333333333334,8.5,1.0,0.0,-0.3,1.6,-0.8
02.10.17,7.5,7.17,7.25,7.045,7.386666666666667,8.5,0.2,-4.6,0.1,1.3,-1.4
03.10.17,7.5,7.17,7.25,7.045,7.386666666666667,8.5,0.2,-4.6,0.1,1.3,-1.4
04.10.17,7.5,7.17,7.25,7.045,7.386666666666667,8.5,0.2,-4.6,0.1,1.3,-1.4
05.10.17,7.5,7.17,7.25,7.045,7.386666666666667,8.5,0.2,-4.6,0.1,1.3,-1.4
06.10.17,7.5,7.17,7.25,7.045,7.386666666666667,8.5,0.2,-4.6,0.1,1.3,-1.4
09.10.17,7.5,7.17,7.25,7.045,7.386666666666667,8.5,0.2,-4.6,0.1,1.3,-1.4
10.10.17,7.5,7.17,7.25,7.045,7.386666666666667,8.5,0.2,-4.6,0.1,1.3,-1.4
11.10.17,7.5,7.17,7.25,7.045,7.386666666666667,8.5,0.2,-4.6,0.1,1.3,-1.4
12.10.17,7.5,7.17,7.25,7.045,7.386666666666667,8.5,0.2,-4.6,0.1,1.3,-1.4
13.10.17,7.5,7.17,7.25,7.045,7.386666666666667,8.5,0.2,-4.6,0.1,1.3,-1.4
