DATE,"LESS_YEAR_DEPOSITS_TO_COMPANIES_RATES
",OVER_YEAR_DEPOSITS_TO_COMPANIES_RATES
1/31/2018,6.21,6.66
1/30/2018,6.21,6.66
1/29/2018,6.21,6.66
1/28/2018,6.21,6.66
1/27/2018,6.21,6.66
1/26/2018,6.21,6.66
1/25/2018,6.21,6.66
1/24/2018,6.21,6.66
1/23/2018,6.21,6.66
1/22/2018,6.21,6.66
1/21/2018,6.21,6.66
1/20/2018,6.21,6.66
1/19/2018,6.21,6.66
1/18/2018,6.21,6.66
1/17/2018,6.21,6.66
1/16/2018,6.21,6.66
1/15/2018,6.21,6.66
1/14/2018,6.21,6.66
1/13/2018,6.21,6.66
1/12/2018,6.21,6.66
1/11/2018,6.21,6.66
1/10/2018,6.21,6.66
1/9/2018,6.21,6.66
1/8/2018,6.21,6.66
1/7/2018,6.21,6.66
1/6/2018,6.21,6.66
1/5/2018,6.21,6.66
1/4/2018,6.21,6.66
1/3/2018,6.21,6.66
1/2/2018,6.21,6.66
1/1/2018,6.21,6.66
12/31/2017,6.74,7.55
12/30/2017,6.74,7.55
12/29/2017,6.74,7.55
12/28/2017,6.74,7.55
12/27/2017,6.74,7.55
12/26/2017,6.74,7.55
12/25/2017,6.74,7.55
12/24/2017,6.74,7.55
12/23/2017,6.74,7.55
12/22/2017,6.74,7.55
12/21/2017,6.74,7.55
12/20/2017,6.74,7.55
12/19/2017,6.74,7.55
12/18/2017,6.74,7.55
12/17/2017,6.74,7.55
12/16/2017,6.74,7.55
12/15/2017,6.74,7.55
12/14/2017,6.74,7.55
12/13/2017,6.74,7.55
12/12/2017,6.74,7.55
12/11/2017,6.74,7.55
12/10/2017,6.74,7.55
12/9/2017,6.74,7.55
12/8/2017,6.74,7.55
12/7/2017,6.74,7.55
12/6/2017,6.74,7.55
12/5/2017,6.74,7.55
12/4/2017,6.74,7.55
12/3/2017,6.74,7.55
12/2/2017,6.74,7.55
12/1/2017,6.74,7.55
11/30/2017,6.98,7.14
11/29/2017,6.98,7.14
11/28/2017,6.98,7.14
11/27/2017,6.98,7.14
11/26/2017,6.98,7.14
11/25/2017,6.98,7.14
11/24/2017,6.98,7.14
11/23/2017,6.98,7.14
11/22/2017,6.98,7.14
11/21/2017,6.98,7.14
11/20/2017,6.98,7.14
11/19/2017,6.98,7.14
11/18/2017,6.98,7.14
11/17/2017,6.98,7.14
11/16/2017,6.98,7.14
11/15/2017,6.98,7.14
11/14/2017,6.98,7.14
11/13/2017,6.98,7.14
11/12/2017,6.98,7.14
11/11/2017,6.98,7.14
11/10/2017,6.98,7.14
11/9/2017,6.98,7.14
11/8/2017,6.98,7.14
11/7/2017,6.98,7.14
11/6/2017,6.98,7.14
11/5/2017,6.98,7.14
11/4/2017,6.98,7.14
11/3/2017,6.98,7.14
11/2/2017,6.98,7.14
11/1/2017,6.98,7.14
10/31/2017,7.17,7.25
10/30/2017,7.17,7.25
10/29/2017,7.17,7.25
10/28/2017,7.17,7.25
10/27/2017,7.17,7.25
10/26/2017,7.17,7.25
10/25/2017,7.17,7.25
10/24/2017,7.17,7.25
10/23/2017,7.17,7.25
10/22/2017,7.17,7.25
10/21/2017,7.17,7.25
10/20/2017,7.17,7.25
10/19/2017,7.17,7.25
10/18/2017,7.17,7.25
10/17/2017,7.17,7.25
10/16/2017,7.17,7.25
10/15/2017,7.17,7.25
10/14/2017,7.17,7.25
10/13/2017,7.17,7.25
10/12/2017,7.17,7.25
10/11/2017,7.17,7.25
10/10/2017,7.17,7.25
10/9/2017,7.17,7.25
10/8/2017,7.17,7.25
10/7/2017,7.17,7.25
10/6/2017,7.17,7.25
10/5/2017,7.17,7.25
10/4/2017,7.17,7.25
10/3/2017,7.17,7.25
10/2/2017,7.17,7.25
10/1/2017,7.17,7.25
9/30/2017,7.44,8.39
9/29/2017,7.44,8.39
9/28/2017,7.44,8.39
9/27/2017,7.44,8.39
9/26/2017,7.44,8.39
9/25/2017,7.44,8.39
9/24/2017,7.44,8.39
9/23/2017,7.44,8.39
9/22/2017,7.44,8.39
9/21/2017,7.44,8.39
9/20/2017,7.44,8.39
9/19/2017,7.44,8.39
9/18/2017,7.44,8.39
9/17/2017,7.44,8.39
9/16/2017,7.44,8.39
9/15/2017,7.44,8.39
9/14/2017,7.44,8.39
9/13/2017,7.44,8.39
9/12/2017,7.44,8.39
9/11/2017,7.44,8.39
9/10/2017,7.44,8.39
9/9/2017,7.44,8.39
9/8/2017,7.44,8.39
