DATE,OPEN,HIGH,LOW,CLOSE,WAP,LTTIME,VALUE,NUMTRADES
24.07.17,9.11,9.15,8.5,8.55,8.97,,2325011000,37
25.07.17,9.09,9.1,8.81,8.81,9.02,,3477388000,31
26.07.17,9.06,9.35,9.05,9.1,9.15,,6537394000,36
27.07.17,9.17,9.4,9.17,9.25,9.3,,3387899000,26
28.07.17,9.31,9.32,9.2,9.2,9.26,,4659405000,31
31.07.17,9.3,9.3,9.1,9.11,9.21,,5181650000,26
01.08.17,9.23,9.26,9.14,9.14,9.19,,4002500000,30
02.08.17,9.14,9.14,9.05,9.05,9.09,,5745400000,27
03.08.17,9.08,9.08,8.65,8.65,8.98,,5598335000,52
04.08.17,8.9,9.01,7.55,7.6,8.44,,4233004060,39
07.08.17,8.76,8.81,7.99,8,8.42,,4240150000,34
08.08.17,8.6,8.9,8.1,8.1,8.47,,4533000000,34
09.08.17,8.96,9.01,8.4,8.4,8.78,,3877000000,29
10.08.17,8.86,8.98,8,8.2,8.75,,3959499750,31
11.08.17,8.96,8.98,8.1,8.65,8.47,,3853500000,30
14.08.17,8.96,8.96,8.26,8.6,8.5,,3725000000,24
15.08.17,8.65,8.78,8.42,8.46,8.55,,4576600000,35
16.08.17,8.59,9.11,7,8,8.45,,7706000000,43
17.08.17,8.89,9.08,8.25,8.3,8.85,,8504546000,57
18.08.17,8.88,8.97,8,8,8.72,,8798400000,58
21.08.17,8.82,8.93,8.1,8.1,8.67,,9151650000,59
22.08.17,8.73,8.93,8.21,8.25,8.66,,12653950000,95
23.08.17,8.75,8.75,7.1,7.1,8.4,,11465700000,75
24.08.17,8.55,8.81,8.05,8.05,8.51,,10619685000,69
25.08.17,8.55,8.85,8.54,8.6,8.63,,11517450000,66
28.08.17,8.79,8.94,8.75,8.75,8.82,,12006850000,68
29.08.17,8.8,8.91,8.65,8.65,8.84,,11698274000,84
30.08.17,8.8,9.08,8.7,8.7,8.87,,11617059000,85
31.08.17,8.91,9.15,8.1,8.1,8.95,,10970500000,50
01.09.17,8.74,8.94,8.55,8.9,8.79,,9529100000,47
04.09.17,8.86,9.3,8.8,8.8,8.96,,11748300000,35
05.09.17,9.09,9.15,8.6,8.8,8.98,,11872490000,53
06.09.17,8.86,8.9,8.4,8.4,8.68,,12037589000,72
07.09.17,8.79,8.8,8.35,8.35,8.61,,11376399000,56
08.09.17,8.7,8.74,7.88,8,8.6,,11902711000,51
11.09.17,8.65,8.65,7.14,7.14,8.51,,12090297000,47
12.09.17,8.65,8.7,7.9,7.9,8.56,,14349100000,60
13.09.17,8.65,8.65,7.01,7.01,8.26,,14445005000,79
14.09.17,8.5,9.1,8.25,9,8.51,,16806378000,51
15.09.17,8.79,8.91,8.7,8.8,8.76,,17975708000,67
18.09.17,8.49,8.49,7.5,7.6,8.26,,20697841000,103
19.09.17,8.4,8.45,8,8,8.3,,21878078461,95
20.09.17,8.34,8.4,7.05,7.05,8.26,,22458051000,69
21.09.17,8.28,8.35,8,8,8.31,,25465238000,56
22.09.17,8.31,8.5,8.3,8.3,8.4,,43432927000,83
25.09.17,8.41,8.46,8.3,8.3,8.41,,26374316000,73
26.09.17,8.41,8.47,8.3,8.3,8.38,,27496410000,80
27.09.17,8.4,8.55,8.4,8.45,8.45,,28162726000,63
28.09.17,8.45,8.9,8,8.5,8.59,,19890970000,62
29.09.17,8.67,8.74,7.2,7.2,8.39,,25779285000,77
02.10.17,8.69,8.69,7.8,7.8,8.41,,25570050000,56
03.10.17,8.37,8.69,8.25,8.69,8.35,,10903454056,45
04.10.17,8.35,8.35,8.2,8.21,8.3,,9294070000,54
05.10.17,8.31,8.31,8,8,8.21,,8668928000,49
06.10.17,8.29,8.3,8.15,8.2,8.22,,12411218000,54
09.10.17,8.35,8.61,8,8,8.34,,21748349000,96
10.10.17,8.4,8.45,7.75,7.75,8.21,,19749156000,94
11.10.17,8.26,8.29,7.8,7.8,8.22,,19691755000,81
12.10.17,8.27,8.51,8.2,8.3,8.24,,19911774000,92
13.10.17,8.34,8.38,8.1,8.1,8.34,,19289085500,76
16.10.17,8.35,8.38,8,8,8.32,,22973502000,100
17.10.17,8.34,8.38,7.55,7.55,8.21,,23657103000,117
18.10.17,8.34,8.34,7.62,8,8.13,,25141357000,129
19.10.17,8.25,8.25,7.65,7.67,7.99,,24401634000,120
20.10.17,8.05,8.05,7.59,7.75,7.8,,24318723000,139
23.10.17,8.05,8.4,7.75,7.75,8,20:03:35,27749278000,91
24.10.17,8.05,8.18,7.7,7.7,8.05,20:04:17,25928764000,89
25.10.17,8.07,8.6,8.07,8.45,8.15,20:04:16,20862760000,78
26.10.17,8.18,8.4,8.15,8.15,8.22,20:12:48,20522876000,76
27.10.17,8.27,8.29,8.05,8.05,8.25,20:02:48,19774524000,85
30.10.17,8.18,8.5,8.1,8.45,8.22,20:04:47,19869774000,85
31.10.17,8.26,8.55,8.12,8.18,8.4,20:23:42,18430950000,62
01.11.17,8.21,8.37,8.15,8.19,8.25,20:23:08,20288525000,83
02.11.17,8.22,8.42,8.15,8.3,8.31,20:03:48,22681061806,103
03.11.17,8.28,8.29,6.56,6.75,8.1,20:05:23,23099482000,156
07.11.17,8.09,8.11,7.1,7.5,7.89,20:05:15,20332910918,124
08.11.17,8.06,8.14,7.73,7.93,7.9,20:04:07,23544174000,139
09.11.17,8.05,8.05,7.68,7.7,7.98,20:05:10,31689213000,193
10.11.17,8,8.2,7.8,7.8,8.03,20:12:00,36543230000,181
13.11.17,8.09,8.15,7.65,7.65,8.1,20:10:55,36524354000,171
14.11.17,8.11,8.15,7.65,7.65,8.11,20:02:29,33828206000,105
15.11.17,8.13,8.13,7.96,8.05,8.08,20:05:24,36364472000,178
16.11.17,8.1,8.4,8.08,8.16,8.11,20:03:50,35052378000,125
17.11.17,8.14,8.15,7.5,7.5,8.04,20:04:45,32971413000,160
20.11.17,8.1,8.24,7.86,7.86,8.13,20:03:28,32181521000,126
21.11.17,8.17,8.23,7.6,8.1,8.17,20:03:02,37562541000,115
22.11.17,8.19,8.2,7.6,8,8.01,20:02:48,46172601000,218
23.11.17,8.11,8.12,7.6,7.6,7.93,20:02:47,41970716000,230
24.11.17,8.02,8.04,7.8,7.9,7.89,20:05:21,20722042000,121
27.11.17,8.12,8.32,8,8,8.15,20:02:49,11825788000,72
28.11.17,8.16,8.4,8.14,8.16,8.21,20:03:05,17609921000,88
